DATE,REGION,CODE,NB_POINTS_SOUTIRAGE,ENERGIE_SOUTIREE
2022-01-20,Auvergne-Rhône-Alpes,84,231350408,110771952883.0
2022-01-20,Bourgogne-Franche-Comté,27,82241598,38040339046.0
2022-01-20,Bretagne,53,103531253,48603319853.0
2022-01-20,Centre-Val de Loire,24,68802580,37200854213.0
2022-01-20,Grand-Est,44,145720652,64898059860.0
2022-01-20,Hauts-de-France,32,142600522,62759227428.0
2022-01-20,Normandie,28,95157780,47371159647.0
2022-01-20,Nouvelle Aquitaine,75,173969682,87693350707.0
2022-01-20,Occitanie,76,188653480,89941787900.0
2022-01-20,Pays de la Loire,52,109347194,55474628819.0
2022-01-20,Provence-Alpes-Côte d'Azur,93,168145834,77432880372.0
2022-01-20,Île-de-France,11,313107112,123294019887.0
2022-01-21,Auvergne-Rhône-Alpes,84,231369053,115046523738.0
2022-01-21,Bourgogne-Franche-Comté,27,82246596,39577590327.0
2022-01-21,Bretagne,53,103540101,50756304742.0
2022-01-21,Centre-Val de Loire,24,68807000,38825671687.0
2022-01-21,Grand-Est,44,145729446,66950029063.0
2022-01-21,Hauts-de-France,32,142610526,65193789814.0
2022-01-21,Normandie,28,95167332,49401388895.0
2022-01-21,Nouvelle Aquitaine,75,173987618,91509959593.0
2022-01-21,Occitanie,76,188673054,93702876143.0
2022-01-21,Pays de la Loire,52,109357576,57965745504.0
2022-01-21,Provence-Alpes-Côte d'Azur,93,168158074,80568487790.0
2022-01-21,Île-de-France,11,313143758,127936262230.0
2022-01-22,Auvergne-Rhône-Alpes,84,231360714,115875941895.0
2022-01-22,Bourgogne-Franche-Comté,27,82245078,39900977149.0
2022-01-22,Bretagne,53,103537247,51318699553.0
2022-01-22,Centre-Val de Loire,24,68804906,39322753149.0
2022-01-22,Grand-Est,44,145730552,67204542273.0
2022-01-22,Hauts-de-France,32,142606666,65803279305.0
2022-01-22,Normandie,28,95163678,49893884439.0
2022-01-22,Nouvelle Aquitaine,75,173983170,92686698943.0
2022-01-22,Occitanie,76,188670248,94729688732.0
2022-01-22,Pays de la Loire,52,109353960,58643812337.0
2022-01-22,Provence-Alpes-Côte d'Azur,93,168154922,81358028403.0
2022-01-22,Île-de-France,11,313151771,128477442282.0
2022-01-23,Auvergne-Rhône-Alpes,84,231357594,113592107805.0
2022-01-23,Bourgogne-Franche-Comté,27,82242378,39141389253.0
2022-01-23,Bretagne,53,103536686,50372005722.0
2022-01-23,Centre-Val de Loire,24,68803588,38667780749.0
2022-01-23,Grand-Est,44,145727988,65918049133.0
2022-01-23,Hauts-de-France,32,142604442,64708112550.0
2022-01-23,Normandie,28,95162652,49005152409.0
2022-01-23,Nouvelle Aquitaine,75,173981288,91112586337.0
2022-01-23,Occitanie,76,188667330,93092515128.0
2022-01-23,Pays de la Loire,52,109351810,57597791668.0
2022-01-23,Provence-Alpes-Côte d'Azur,93,168154156,79922186059.0
2022-01-23,Île-de-France,11,313151924,126026436404.0
2022-01-24,Auvergne-Rhône-Alpes,84,231389904,114763883424.0
2022-01-24,Bourgogne-Franche-Comté,27,82253266,39578611939.0
2022-01-24,Bretagne,53,103549388,50953584312.0
2022-01-24,Centre-Val de Loire,24,68810380,38961699543.0
2022-01-24,Grand-Est,44,145741068,66512230926.0
2022-01-24,Hauts-de-France,32,142624518,65137542223.0
2022-01-24,Normandie,28,95174040,49475478570.0
2022-01-24,Nouvelle Aquitaine,75,174002610,91826136892.0
2022-01-24,Occitanie,76,188697546,93624275869.0
2022-01-24,Pays de la Loire,52,109365930,58184041292.0
2022-01-24,Provence-Alpes-Côte d'Azur,93,168173752,80352381289.0
2022-01-24,Île-de-France,11,313200548,127789464462.0
2022-01-25,Auvergne-Rhône-Alpes,84,231400400,117978331866.0
